"id","name","gender","isGroup","numOfScenes","numOfSpeechActs","numOfWords","wikidataId","degree","weightedDegree","betweenness","closeness","eigenvector"
"wallenstein","Wallenstein","MALE","false",33,261,9072,NA,19,79,0.266527945489046,0.711111111111111,0.313693223378379
"seni","Seni","MALE","false",3,11,169,NA,10,12,0.015284178187404,0.533333333333333,0.212957793812216
"terzky","Terzky","MALE","false",20,74,969,NA,12,54,0.0246008856866305,0.592592592592593,0.256827309430646
"illo","Illo","MALE","false",15,66,1198,NA,12,53,0.0238072348929797,0.592592592592593,0.249319633824117
"wrangel","Wrangel","MALE","false",1,26,708,NA,1,1,0,0.421052631578947,0.0293617603495974
"graefin","Gr채fin Terzky","FEMALE","false",21,123,2992,NA,20,61,0.200072492340045,0.727272727272727,0.369596381669726
"kammerdiener","Kammerdiener","MALE","false",3,6,31,NA,8,10,0.0133047573868257,0.533333333333333,0.181093063398076
"octavio","Octavio","MALE","false",7,78,1426,NA,10,12,0.150913187855788,0.571428571428571,0.158623219936317
"max","Max","MALE","false",7,43,2127,NA,9,21,0.0168597228725312,0.581818181818182,0.197374773426552
"adjutant","Adjutant","MALE","false",1,2,5,NA,1,1,0,0.367816091954023,0.0148471565252717
"isolani","Isolani","MALE","false",1,20,339,NA,1,1,0,0.367816091954023,0.0148471565252717
"buttler","Buttler","MALE","false",16,162,2470,NA,15,35,0.155426606126321,0.627450980392157,0.258213448938977
"bedienter_2-6","Bedienter (II/6)","MALE","false",1,1,14,NA,2,2,0,0.40506329113924,0.0390159878328975
"thekla","Thekla","FEMALE","false",13,90,1385,NA,9,28,0.0641322499185402,0.524590163934426,0.169161763901993
"herzogin","Herzogin","FEMALE","false",12,44,708,NA,10,43,0.0127433738646974,0.571428571428571,0.208026238751165
"page_3-6","Page (III/6)","MALE","false",1,1,7,NA,5,5,0,0.477611940298507,0.130802816279834
"gefreiter","Gefreiter","MALE","false",2,14,411,NA,4,5,0.00698924731182796,0.463768115942029,0.0607695245286461
"zweiter_kuerassier","Zweiter K체rassier","MALE","false",1,1,4,NA,3,3,0,0.432432432432432,0.0386692838244392
"dritter_kuerassier","Dritter K체rassier","MALE","false",1,3,15,NA,3,3,0,0.432432432432432,0.0386692838244392
"neumann","Neumann","MALE","false",1,1,26,NA,5,5,0,0.477611940298507,0.125238079489755
"gordon","Gordon","MALE","false",13,80,1771,NA,16,34,0.102475264299268,0.64,0.301369811243685
"buergermeister","B체rgermeister","MALE","false",2,7,74,NA,10,11,0.022755856374808,0.551724137931034,0.213076418333921
"neubrunn","Neubrunn","MALE","false",5,28,207,NA,8,12,0.0551553844900619,0.516129032258065,0.152268607285807
"hauptmann","Hauptmann","MALE","false",1,13,408,NA,2,2,0,0.351648351648352,0.0300860466903373
"stallmeister","Stallmeister","MALE","false",1,6,31,NA,2,2,0,0.351648351648352,0.0300860466903373
"geraldin","Geraldin","MALE","false",1,1,4,NA,1,1,0,0.390243902439024,0.0241688313076257
"macdonald","Macdonald","MALE","false",3,27,251,NA,5,10,0.00100806451612903,0.457142857142857,0.0928667715560651
"deveroux","Deveroux","MALE","false",3,40,520,NA,5,10,0.00100806451612903,0.457142857142857,0.0928667715560651
"page_5-10","Page (V/10)","MALE","false",1,1,3,NA,8,8,0,0.484848484848485,0.164127467685433
"kammerfrau","Kammerfrau","FEMALE","false",1,1,4,NA,8,8,0,0.484848484848485,0.164127467685433
"erster_bedienter","Erster Bedienter","MALE","false",1,1,6,NA,8,8,0,0.484848484848485,0.164127467685433
"zweiter_bedienter","Zweiter Bedienter","MALE","false",1,1,7,NA,8,8,0,0.484848484848485,0.164127467685433
"hinter_der_szene","Hinter der Szene","UNKNOWN","false",1,1,10,NA,8,8,0,0.484848484848485,0.164127467685433
